x,n,nNx,nDx,nmx,nax,nqx,npx,lx,ndx,nLx,Tx,ex
0,1,117,1,0.008547008547008548,0.06794017094017094,0.008479458439456413,0.9915205415605436,100000,847.9458439456357,99209.66374164003,6441802.719476186,64.41802719476186
1,4,502,1,0.00199203187250996,1.645390438247012,0.00793092781183403,0.992069072188166,99152.05415605436,786.3677839067241,394756.6275211762,6342593.055734546,63.96834750142449
5,5,646,0,0,2.09,0,1,98365.68637214764,0,491828.4318607382,5947836.42821337,60.46657780347179
10,5,637,0,0,2.79,0,1,98365.68637214764,0,491828.4318607382,5456007.996352632,55.466577803471786
15,5,657,1,0.0015220700152207,2.67,0.007583455932537575,0.9924165440674624,98365.68637214764,745.9518478770042,490090.36405518476,4964179.564491893,50.466577803471786
20,5,687,2,0.002911208151382824,2.7,0.014459224985540777,0.9855407750144592,97619.73452427064,1411.5057045151916,484852.2095009682,4474089.2004367085,45.83181077310081
25,5,729,3,0.00411522633744856,2.49,0.02036576921510326,0.9796342307848968,96208.22881975544,1959.3545847369824,476123.16409108735,3989236.9909357405,41.46461316120382
30,5,787,4,0.005082592121982211,2.63,0.02511048613901165,0.9748895138609883,94248.87423501846,2366.6350500958797,465635.44610636507,3513113.826844653,37.27486248890753
35,5,823,5,0.006075334143377886,2.54,0.029929366694600744,0.9700706333053992,91882.23918492258,2749.9772292865673,452646.251940568,3047478.380738288,33.16721934262965
40,5,887,8,0.009019165727170236,2.65,0.044159858688452194,0.9558401413115478,89132.26195563602,3936.0680925429915,436411.54976070405,2594832.12879772,29.112153914474327
45,5,831,10,0.012033694344163659,2.64,0.058506903814650124,0.9414930961853498,85196.19386309302,4984.56551972228,414217.3946889205,2158420.579037016,25.33470664787577
50,5,733,12,0.01637107776261937,2.65,0.07882291119285338,0.9211770888071467,80211.62834337074,6322.514057543667,386200.2336816261,1744203.1843480954,21.74501653153696
55,5,596,13,0.02181208053691275,2.69,0.10382888998929762,0.8961711100107024,73889.11428582708,7671.824718589778,351723.65632919304,1358002.9506664693,18.378931237601158
60,5,421,14,0.0332541567695962,2.63,0.15412391562816505,0.8458760843718349,66217.2895672373,10205.667950386654,306899.0147937701,1006279.2943372763,15.196624641597513
65,5,287,13,0.04529616724738676,2.58,0.20410726621867742,0.7958927337813226,56011.62161685064,11432.37896469036,252391.75098970256,699380.2795435062,12.486342286742566
70,5,145,9,0.06206896551724138,2.52,0.2689457327277074,0.7310542672722926,44579.24265216028,11989.397079531514,193162.50850356327,446988.52855380357,10.026830918630305
75,5,68,6,0.08823529411764706,2.42,0.3593675131768089,0.6406324868231912,32589.84557262877,11711.731758251834,132732.95992685412,253826.02005024033,7.788500239578342
80,NA,87,15,0.1724137931034483,5.799998977339962,1,0,20878.113814376935,20878.113814376935,121093.06012338621,121093.06012338621,5.8
